Document ID,Document Name,Paper_ID: Identifier (AuthorYear).,BT_Classification: Standardized name of breathing technique.,Dose_Frequency: Sessions per week.,Dose_Duration: Total duration of intervention period (days).,"Comparator_Type: Active control, passive control, or crossover baseline or none.",View Link
2fae7b981093ff39_c09085e022a4fd26,bahensky2021.pdf,Bahenský et al. 2021,yoga-based breathing intervention,three supervised group sessions; two group training sessions,eight weeks,passive control,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=2fae7b981093ff39_c09085e022a4fd26&tid=f24bc67b48677e0e&utm_source=extract_data_deep_link
d3bef6d31116c807_c09085e022a4fd26,Fesseler2025.pdf,Fesseler2025,pre-exercise hyperventilation,--/--,--/--,crossover baseline,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=d3bef6d31116c807_c09085e022a4fd26&tid=f24bc67b48677e0e&utm_source=extract_data_deep_link
bf01c8ea811658ab_c09085e022a4fd26,Fernandez2025.pdf,Fernandez2025,hook breathing (HB);usual breathing (UB),--/--,--/--,crossover baseline,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=bf01c8ea811658ab_c09085e022a4fd26&tid=f24bc67b48677e0e&utm_source=extract_data_deep_link
5a695e112160eec2_c09085e022a4fd26,Vaidya2021.pdf,Vaidya2021,pranayama,three times a week,12 weeks,Active control,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=5a695e112160eec2_c09085e022a4fd26&tid=f24bc67b48677e0e&utm_source=extract_data_deep_link
bc7bacb9af8a183b_c09085e022a4fd26,Kasap2025.pdf,Kasap2025,Box Breathing; 6 bpm,--/--,9 days,crossover baseline,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=bc7bacb9af8a183b_c09085e022a4fd26&tid=f24bc67b48677e0e&utm_source=extract_data_deep_link
6bd77bd198f8695d_c09085e022a4fd26,Braham2024.pdf,Braham2024,repeated-sprint training with voluntary hypoventilation at low (RSH-VHL) and high (RS-VHH) lung volume,--/--,--/--,Active control,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=6bd77bd198f8695d_c09085e022a4fd26&tid=f24bc67b48677e0e&utm_source=extract_data_deep_link
aa1029e2f806803b_c09085e022a4fd26,Devipriya2026.pdf,Devipriya2026,Bhramari Pranayama,--/--,--/--,none,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=aa1029e2f806803b_c09085e022a4fd26&tid=f24bc67b48677e0e&utm_source=extract_data_deep_link
5a6fe464b9f00272_c09085e022a4fd26,Katz2026.pdf,Katz2026,diaphragmatic breathing,--/--,--/--,crossover baseline,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=5a6fe464b9f00272_c09085e022a4fd26&tid=f24bc67b48677e0e&utm_source=extract_data_deep_link
94070436ce60a616_c09085e022a4fd26,Citherlet2021.pdf,Citherlet2021,Wim Hof breathing method (WHBM),Once a week,4 weeks,crossover baseline,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=94070436ce60a616_c09085e022a4fd26&tid=f24bc67b48677e0e&utm_source=extract_data_deep_link
acd7a82153eb8d17_c09085e022a4fd26,Spiering2004.pdf,Spiering2004,eucapnic voluntary hyperventilation (EVH),--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=acd7a82153eb8d17_c09085e022a4fd26&tid=f24bc67b48677e0e&utm_source=extract_data_deep_link
c0b05ce4631340d_c09085e022a4fd26,Lindholm2005.pdf,Lindholm2005,glossopharyngeal breathing,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=c0b05ce4631340d_c09085e022a4fd26&tid=f24bc67b48677e0e&utm_source=extract_data_deep_link
55af67c00adcc959_c09085e022a4fd26,Hakked2017.pdf,Hakked2017,Pranayama; Yogic Breathing Practices (YBP); Sectional Breathing (Vibhagiya Pranayama); Yogic Bellows Breathing (Bhastrika Pranayama); Alternate Nostril Breathing with Voluntary Internal Breath Holding (Nadi Shodhana with Anthar kumbhaka); Alternate Nostril Breathing with Voluntary Internal Breath Retention (Nadi Shodhana with Anthar kumbhaka),five days a week,one month,passive control,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=55af67c00adcc959_c09085e022a4fd26&tid=f24bc67b48677e0e&utm_source=extract_data_deep_link
f2157023e49da642_c09085e022a4fd26,Iskra2026.pdf,Iskra2026,Fast-paced breathing (FPB),--/--,--/--,crossover baseline,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=f2157023e49da642_c09085e022a4fd26&tid=f24bc67b48677e0e&utm_source=extract_data_deep_link
aab04d8f26296f7c_c09085e022a4fd26,Durand2004.pdf,Durand2004.pdf,--/--,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=aab04d8f26296f7c_c09085e022a4fd26&tid=f24bc67b48677e0e&utm_source=extract_data_deep_link
8aed18aed71d1e73_c09085e022a4fd26,Yilmaz2025.pdf,Yilmaz2025,Voluntary hyperventilation-induced hypocapnia,--/--,7 days,crossover baseline,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=8aed18aed71d1e73_c09085e022a4fd26&tid=f24bc67b48677e0e&utm_source=extract_data_deep_link
1942af2be7703945_c09085e022a4fd26,Chiron2026.pdf,Chiron2026,coherent breathing,--/--,8-day,Active control,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=1942af2be7703945_c09085e022a4fd26&tid=f24bc67b48677e0e&utm_source=extract_data_deep_link
