Paper_ID,BT_Classification,Breathing_Category,Comparator,Arm_Structure,Timing,Total_Duration
Kasap2025.pdf,box breathing,paced breathing,spontaneous breathing,crossover,post-exercise/recovery,2 min
Liapaki2025.pdf,breath holding/apnea,breath holding/apnea,normal breathing,crossover,during exercise,
Lorinczi2025.pdf,breath holding/apnea (EEBH),breath holding/apnea,normal breathing,parallel,training intervention,
Yilmaz2025.pdf,voluntary hyperventilation,hyperventilation,control,unclear,acute pre-exercise,
Chiron2026.pdf,slow-paced breathing,paced breathing,control,parallel,training intervention,8 days
Devipriya2026.pdf,Bhramari Pranayama,yoga/pranayama,baseline,single-arm,baseline/testing,
FernandezBarradas2026.pdf,slow-paced breathing,paced breathing,baseline,single-arm,acute pre-exercise,8 weeks
Iskra2026.pdf,slow-paced breathing,paced breathing,paced breathing,crossover,baseline/testing,2.5 min
Jing2026.pdf,breath holding/apnea,breath holding/apnea,control,parallel,training intervention,
Jones2026.pdf,box breathing,paced breathing,spontaneous breathing,parallel,post-exercise/recovery,3 min
Katz2026.pdf,diaphragmatic breathing,diaphragmatic,control,crossover,acute pre-exercise,5 min
Raidl2026.pdf,slow-paced breathing,paced breathing,control,parallel,post-exercise/recovery,
Tomita2026.pdf,focused attention meditation,other,control,crossover,acute pre-exercise,
