Paper_ID,Year,First_Author,Design,Country,Journal,Title_Short
Li2024.pdf,2024,Li,Crossover,China,Healthcare,The Impact of Starting Positions and Breathing Rhythms on Cardiopulmonary Stress
Merlin2024.pdf,2024,Merlin,RCT,France,J Funct Morphol Kinesiol,Psychophysiological Effects of Slow-Paced Breathing on Adolescent Swimmers
Rosa2024.pdf,2024,Rosa,Crossover,Portugal,,VHL during arm cycle ergometer
Sikora2024.pdf,2024,Sikora,Observational,Poland,Sci Rep,Differences between diaphragmatic and abdominal breathing patterns in spirometric
Woorons2024.pdf,2024,Woorons,RCT,France,Front Physiol,Hypoventilation training including maximal end-expiratory breath holding improves
Deniz2025.pdf,2025,Deniz,Crossover,Turkey,"BMC Sports Science, Medicine and Rehabilitation",The effect of breathing strategy on lifted load during the bench press
Fernandez2025.pdf,2025,DeAsís-Fernández,Crossover,Spain,Sports,Effects of Hook Maneuver on Oxygen Saturation Recovery After -40 m Apnea Dive
Fesseler2025.pdf,2025,Fesseler,Crossover,Germany,Experimental Physiology,The effect of pre-exercise hyperventilation on repeated high-intensity inclined sprint performance
Fox2025.pdf,2025,Fox,RCT,Australia,Sci Rep,Wim Hof Method
Kasap2025.pdf,2025,Kasap,Crossover,Turkey,PLoS One,Box breathing or six breaths per minute: Which strategy improves athletes post-HIIT cardiovascular recovery?
Liapaki2025.pdf,2025,Liapaki,Crossover,Greece,J Hum Kinet,Apnea or normal breathing on physiological responses during HIIT
Lorinczi2025.pdf,2025,Lorinczi,RCT,Slovakia,Int J Sports Physiol Perform,Additional Benefits of Repeated-Sprint Training With Prolonged End-Expiratory Breath Holding
Yilmaz2025.pdf,2025,Yilmaz,Other experimental,Turkey,Sci Rep,Evaluating bioenergetic pathway contributions
Chiron2026.pdf,2026,Chiron,RCT,France,J Strength Cond Res,Exploring the influence of coherent breathing on psychophysiological stress
Devipriya2026.pdf,2026,Devipriya,Before-after,India,Cureus,Evaluation of Immediate Changes in Reaction Time Following Bhramari Pranayama
FernandezBarradas2026.pdf,2026,Fernández-Barradas,Before-after,Mexico,Front. Sports Act. Living,Slow paced breathing and power posing: a pre-competitive ritual
Iskra2026.pdf,2026,Iskra,Crossover,Germany,Psychophysiology,Fast-paced breathing
Jing2026.pdf,2026,Jing,RCT,China,J Sports Med Phys Fitness,Effects of underwater breath-holding training on athletes' lung capacity
Jones2026.pdf,2026,Jones,RCT,USA,Med Sci Sports Exerc,Box Breathing vs Cyclic Sighing
Katz2026.pdf,2026,Katz,Crossover,USA,Journal of Strength and Conditioning Research,The acute effect of a diaphragmatic breathing warm-up on maximal deadlift performance
Raidl2026.pdf,2026,Raidl,RCT,Austria,Int J Sports Physiol Perform,No Evidence for the Efficacy of Slow-Paced Breathing as a Recovery Strategy After Sprint Interval Training
Tomita2026.pdf,2026,Tomita,Crossover,Japan,,Focused Attention Meditation as a Pre-Exercise Strategy
