document_id,document_name,paper_id,bt_classification,dose_frequency,dose_duration,comparator_type,view_link,bt_category,dose_duration_days,dose_frequency_week,breathing_category,technique_description,device_free,biofeedback_used,comparator_description,intervention_timing,session_duration,supervision
,The effects of breathing techniques on pressurized performance and stress-responses,Conlon2022.pdf,Diaphragmatic breathing,,,,,diaphragmatic,,,diaphragmatic breathing,,,,,,,
,Does Wim Hof Method Improve Breathing Economy during Exercise?,Marko2022.pdf,Wim Hof Method,,,,,hyperventilation,,,Wim Hof-type breathing,,,,,,,
,Single slow-paced Breathing Session at six cycles per minute,You2023.pdf,"Slow-paced breathing (5, 5.5, 6, 6.5, 7 cpm)",,,usual breathing,,paced_breathing,,,slow-paced breathing,,,,Control condition,,,
,Effects of a 6-Week Repeated-Sprint Training With Voluntary Hypoventilation,Braham2024.pdf,VHL,,6 weeks,,,hypoventilation,42,,hypoventilation,,,,,,,
,The Effects of Slow Breathing during Inter-Set Recovery on Power Performance in the Barbell Back Squat,Buxton2024.pdf,4-7-8 method,,,,,paced_breathing,,,slow-paced breathing,SB used as inter-set recovery,,,,During recovery,,
,The Impact of Starting Positions and Breathing Rhythms on Cardiopulmonary Stress...,Li2024.pdf,Regulated breathing rhythm,,,,,paced_breathing,,,mixed protocol,,,,,,,
,Psychophysiological Effects of Slow-Paced Breathing on Adolescent Swimmers' Subjective Performance,Merlin2024.pdf,SPB without HRV biofeedback,,6 weeks,,,paced_breathing,42,,slow-paced breathing,,,No,,,,
,VHL during arm cycle ergometer,Rosa2024.pdf,VHL,,,,,hypoventilation,,,hypoventilation,,,,,,,
,Differences between diaphragmatic and abdominal breathing patterns in spirometric...,Sikora2024.pdf,Diaphragmatic vs Abdominal vs Thoracic,,,observational comparison,,diaphragmatic,,,breathing pattern observation,,,,,,,
,Hypoventilation training including maximal end-expiratory breath holding improves...,Woorons2024.pdf,VHL,,4 weeks,usual training,,hypoventilation,28,,hypoventilation,,,,RSN,During training,,
,The effect of breathing strategy on lifted load during the bench press,Deniz2025.pdf,Exhale/Inhale/Breath hold during concentric,,4 weeks,,,other_unclear,28,,mixed protocol,,,,,During exercise,,
,Effects of Hook Maneuver on Oxygen Saturation Recovery After -40 m Apnea Dive,Fernandez2025.pdf,Hook maneuver,,,,,hook_breathing,,,hook breathing,,,,,During recovery,,
,Pre-exercise hyperventilation does not improve performance...,Fesseler2025.pdf,Hyperventilation,,,usual breathing,,hyperventilation,,,voluntary hyperventilation,,,,,Pre-exercise,,
,Wim Hof Method,Fox2025.pdf,Wim Hof Method,,29 days,usual breathing,,hyperventilation,29,,Wim Hof-type breathing,,,,Meditation control,During training,,
,Box breathing or six breaths per minute: Which strategy improves athletes post-HIIT cardiovascular recovery?,Kasap2025.pdf,Box breathing vs 6 bpm,,,usual breathing,,paced_breathing,,,box breathing,,,,Spontaneous Breathing,During recovery,,
,Effects of apnoea versus normal breathing on physiological responses during HIIT,Liapaki2025.pdf,Apnea,,,usual breathing,,breath_holding,,,breath holding/apnea,,,,,During exercise,,
,Additional Benefits of Repeated-Sprint Training With Prolonged End-Expiratory Breath Holding,Lorinczi2025.pdf,End-Expiratory Breath Holding,,,,,breath_holding,,,breath holding/apnea,,,,,During training,,
,Evaluating bioenergetic pathway contributions...,Yilmaz2025.pdf,Alkalosis / Hyperventilation,,,,,hyperventilation,,,voluntary hyperventilation,,,,,,,
,Exploring the influence of coherent breathing on psychophysiological stress,Chiron2026.pdf,Coherent breathing,,8 days,usual breathing,,paced_breathing,8,,slow-paced breathing,,,,Control,During training,,
,Evaluation of Immediate Changes in Reaction Time Following Bhramari Pranayama,Devipriya2026.pdf,Bhramari Pranayama,,,within-subject baseline,,pranayama_yogic,,,pranayama/yogic breathing,,,,,Pre-exercise,,
,Slow paced breathing and power posing: a pre-competitive ritual,FernandezBarradas2026.pdf,Slow paced breathing,,,,,paced_breathing,,,slow-paced breathing,,,,,Pre-exercise,,
,Fast-paced breathing,Iskra2026.pdf,Fast-paced breathing,,Acute,usual breathing,,hyperventilation,1,,fast-paced breathing,35 and 55 CPM,,,Spontaneous and paced breathing,During exercise,2.5 min,
,Effects of underwater breath-holding training,Jing2026.pdf,Underwater breath-holding,,,,,breath_holding,,,breath holding/apnea,,,,,During training,,
,Box Breathing vs Cyclic Sighing,Jones2026.pdf,"Box breathing, Cyclic sighing",,,usual breathing,,paced_breathing,,,box breathing,,,,Control,During recovery,,
,Responder Analysis,Katz2026.pdf,mixed protocol,,,,,other_unclear,,,mixed protocol,,,,,,,
,No Evidence for the Efficacy of Slow-Paced Breathing as a Recovery Strategy,Raidl2026.pdf,Slow-paced breathing,,,,,paced_breathing,,,slow-paced breathing,,,,,During recovery,,
,Effects of Breathing Intervention on HIIT,Tomita2026.pdf,Breathing intervention,,,,,other_unclear,,,mixed protocol,,,,,During exercise,,
