document_id,document_name,paper_id,bt_classification,dose_frequency,dose_duration,comparator_type,view_link,bt_category,dose_duration_days,dose_frequency_week,breathing_category,comparator_description,arm_structure,timing
,The effects of breathing techniques on pressurized performance and stress-responses,Conlon2022,slow diaphragmatic breathing,,5 min,paced breathing (12 cpm),,diaphragmatic,0.003472222222222222,,diaphragmatic,paced breathing (12 cpm),parallel,acute pre-exercise
,Does Wim Hof Method Improve Breathing Economy during Exercise?,Marko2022,Wim Hof Method,,,baseline,,other_unclear,,,other_unclear,baseline,crossover,acute pre-exercise
,Single slow-paced Breathing Session at six cycles per minute,You2023,slow-paced breathing (6 cpm),,,usual breathing,,paced_breathing,,,paced_breathing,usual breathing,crossover,baseline/testing
,Effects of a 6-Week Repeated-Sprint Training With Voluntary Hypoventilation,Braham2024,hypoventilation (VHL),,6 weeks,normal breathing (RSN),,hypoventilation,42,,hypoventilation,normal breathing (RSN),parallel,training intervention
,The Effects of Slow Breathing during Inter-Set Recovery on Power Performance in the Barbell Back Squat,Buxton2024,slow-paced breathing (4-7-8 method),,,control,,paced_breathing,,,paced_breathing,control,crossover,post-exercise/recovery
,The Impact of Starting Positions and Breathing Rhythms on Cardiopulmonary Stress,Li2024,regulated breathing (Rhythm+Stand),,,free breathing (Free+Stand),,paced_breathing,,,paced_breathing,free breathing (Free+Stand),crossover,during exercise
,Psychophysiological Effects of Slow-Paced Breathing on Adolescent Swimmers,Merlin2024,slow-paced breathing,,6 weeks,control,,paced_breathing,42,,paced_breathing,control,parallel,training intervention
,VHL during arm cycle ergometer,Rosa2024,hypoventilation (RS-VHL),,,normal breathing (RSN),,hypoventilation,,,hypoventilation,normal breathing (RSN),crossover,during exercise
,Differences between diaphragmatic and abdominal breathing patterns in spirometric,Sikora2024,diaphragmatic breathing,,,thoracic breathing,,diaphragmatic,,,diaphragmatic,thoracic breathing,observational,baseline/testing
,Hypoventilation training including maximal end-expiratory breath holding improves,Woorons2024,hypoventilation (RSH-VHL),,4 weeks,normal breathing (RSN),,hypoventilation,28,,hypoventilation,normal breathing (RSN),parallel,training intervention
,The effect of breathing strategy on lifted load during the bench press,Deniz2025,exhalation,,4 weeks,inhalation,,other_unclear,28,,other_unclear,inhalation,crossover,during exercise
,Effects of Hook Maneuver on Oxygen Saturation Recovery After -40 m Apnea Dive,Fernandez2025,hook breathing,,,usual breathing,,other_unclear,,,other_unclear,usual breathing,crossover,post-exercise/recovery
,The effect of pre-exercise hyperventilation on repeated high-intensity inclined sprint performance,Fesseler2025,pre-exercise hyperventilation,,30 s,spontaneous breathing,,hyperventilation,30,,hyperventilation,spontaneous breathing,crossover,acute pre-exercise
,Wim Hof Method,Fox2025,Wim Hof Method,,29 days,Meditation control,,other_unclear,29,,other_unclear,Meditation control,parallel,training intervention
,Box breathing or six breaths per minute: Which strategy improves athletes post-HIIT cardiovascular recovery?,Kasap2025,box breathing,,2 min,6 bpm breathing,,paced_breathing,0.001388888888888889,,paced_breathing,6 bpm breathing,crossover,post-exercise/recovery
,Apnea or normal breathing on physiological responses during HIIT,Liapaki2025,breath holding/apnea,,,normal breathing,,breath_holding,,,breath_holding,normal breathing,crossover,during exercise
,Additional Benefits of Repeated-Sprint Training With Prolonged End-Expiratory Breath Holding,Lorinczi2025,breath holding/apnea (EEBH),,,normal breathing,,breath_holding,,,breath_holding,normal breathing,parallel,training intervention
,Evaluating bioenergetic pathway contributions,Yilmaz2025,voluntary hyperventilation,,,control,,hyperventilation,,,hyperventilation,control,parallel,acute pre-exercise
,Exploring the influence of coherent breathing on psychophysiological stress,Chiron2026,slow-paced breathing (RELAX),,8 days,control (CONT),,paced_breathing,8,,paced_breathing,control (CONT),parallel,training intervention
,Evaluation of Immediate Changes in Reaction Time Following Bhramari Pranayama,Devipriya2026,Bhramari Pranayama,,,within-subject baseline,,pranayama_yogic,,,pranayama_yogic,within-subject baseline,crossover,baseline/testing
,Slow paced breathing and power posing: a pre-competitive ritual,FernandezBarradas2026,slow-paced breathing,,8 weeks,baseline,,paced_breathing,56,,paced_breathing,baseline,crossover,acute pre-exercise
,Fast-paced breathing,Iskra2026,slow-paced breathing (6 CPM),,2.5 min,paced breathing (15 CPM),,paced_breathing,0.001736111111111111,,paced_breathing,paced breathing (15 CPM),crossover,baseline/testing
,Effects of underwater breath-holding training on athletes' lung capacity,Jing2026,breath holding/apnea,,,control,,breath_holding,,,breath_holding,control,parallel,training intervention
,Box Breathing vs Cyclic Sighing,Jones2026,box breathing,,3 min,spontaneous breathing,,paced_breathing,0.0020833333333333333,,paced_breathing,spontaneous breathing,parallel,post-exercise/recovery
,The acute effect of a diaphragmatic breathing warm-up on maximal deadlift performance,Katz2026,diaphragmatic breathing,,5 min,control,,diaphragmatic,0.003472222222222222,,diaphragmatic,control,crossover,acute pre-exercise
,No Evidence for the Efficacy of Slow-Paced Breathing as a Recovery Strategy After Sprint Interval Training,Raidl2026,slow-paced breathing,,,control,,paced_breathing,,,paced_breathing,control,parallel,post-exercise/recovery
,Focused Attention Meditation as a Pre-Exercise Strategy,Tomita2026,controlled breathing,,,random thinking,,other_unclear,,,other_unclear,random thinking,crossover,acute pre-exercise
