document_id,document_name,paper_id,adverse_events,adherence_rate,dropout_rate,feasibility_score,view_link,adherence_prop,dropout_prop,adherence_reported,dropout_reported,dropout_n,adverse_events_reported,safety_summary,main_limitations,risk_of_bias_concerns,extraction_notes
,Effects of Hook Maneuver on Oxygen Saturation Recovery After -40 m Apnea Dive,Fernandez2025.pdf,mild pulmonary edema,,,,,,,,,,Yes,,,,
,Pre-exercise hyperventilation does not improve performance...,Fesseler2025.pdf,,,,,,,,,,,,,,,
,Wim Hof Method,Fox2025.pdf,Medical condition,,27,,,,0.27,,Yes,152,Yes,,,,
,Box breathing or six breaths per minute: Which strategy improves athletes post-HIIT cardiovascular recovery?,Kasap2025.pdf,,,,,,,,,,,,,,,
,Effects of apnoea versus normal breathing on physiological responses during HIIT,Liapaki2025.pdf,,,,,,,,,,,,,,,
,Additional Benefits of Repeated-Sprint Training With Prolonged End-Expiratory Breath Holding,Lorinczi2025.pdf,,,,,,,,,,,,,,,
,Evaluating bioenergetic pathway contributions...,Yilmaz2025.pdf,,,,,,,,,,,,,,,
,Exploring the influence of coherent breathing on psychophysiological stress,Chiron2026.pdf,,,,,,,,,,,,,,,
,Evaluation of Immediate Changes in Reaction Time Following Bhramari Pranayama,Devipriya2026.pdf,,,,,,,,,,,,,,,
,Slow paced breathing and power posing: a pre-competitive ritual,FernandezBarradas2026.pdf,,,,,,,,,,,,,,,
,Fast-paced breathing,Iskra2026.pdf,,,34,,,,0.34,,Yes,20,,,,,
,Effects of underwater breath-holding training,Jing2026.pdf,,,,,,,,,,,,,,,
,Box Breathing vs Cyclic Sighing,Jones2026.pdf,,,19,,,,0.19,,Yes,15,,,,,
,Responder Analysis,Katz2026.pdf,,,,,,,,,,,,,,,
,No Evidence for the Efficacy of Slow-Paced Breathing as a Recovery Strategy,Raidl2026.pdf,,,,,,,,,,,,,,,
,Effects of Breathing Intervention on HIIT,Tomita2026.pdf,,,0,,,,0,,No,0,No,,,,
