document_id,document_name,paper_id,n_total,age_mean,age_sd,sex_ratio,view_link,n_total_num,age_mean_num,age_sd_num,sex_ratio_prop,male_n,female_n
,Single slow-paced Breathing Session at six cycles per minute,You2023,78,22.32,2.11,71,,78,22.32,2.11,0.71,55.379999999999995,22.620000000000005
,Effects of a 6-Week Repeated-Sprint Training With Voluntary Hypoventilation,Braham2024,16,,,0,,16,,,0,0,16
,The Effects of Slow Breathing during Inter-Set Recovery on Power Performance in the Barbell Back Squat,Buxton2024,18,20.7,1.4,100,,18,20.7,1.4,1,18,0
,The Impact of Starting Positions and Breathing Rhythms on Cardiopulmonary Stress,Li2024,30,19.6,1.2,82,,30,19.6,1.2,0.82,24.599999999999998,5.400000000000001
,Psychophysiological Effects of Slow-Paced Breathing on Adolescent Swimmers,Merlin2024,13,13.9,0.38,38,,13,13.9,0.38,0.38,4.94,8.06
,VHL during arm cycle ergometer,Rosa2024,14,,,,,14,,,,,
,Differences between diaphragmatic and abdominal breathing patterns in spirometric,Sikora2024,69,,,,,69,,,,,
,Hypoventilation training including maximal end-expiratory breath holding improves,Woorons2024,20,20.6,2.5,50,,20,20.6,2.5,0.5,10,10
,The effect of breathing strategy on lifted load during the bench press,Deniz2025,12,27.92,7.38,100,,12,27.92,7.38,1,12,0
,Effects of Hook Maneuver on Oxygen Saturation Recovery After -40 m Apnea Dive,Fernandez2025,13,42,9,,,13,42,9,,,
,The effect of pre-exercise hyperventilation on repeated high-intensity inclined sprint performance,Fesseler2025,36,24.0,1.8,50,,36,24,1.8,0.5,18,18
,Wim Hof Method,Fox2025,404,37,9.95,44,,404,37,9.95,0.44,177.76,226.24
,Box breathing or six breaths per minute: Which strategy improves athletes post-HIIT cardiovascular recovery?,Kasap2025,40,20.95,1.75,63,,40,20.95,1.75,0.63,25.2,14.8
,Apnea or normal breathing on physiological responses during HIIT,Liapaki2025,15,24.7,3.1,,,15,24.7,3.1,,,
,Additional Benefits of Repeated-Sprint Training With Prolonged End-Expiratory Breath Holding,Lorinczi2025,20,,,,,20,,,,,
,Evaluating bioenergetic pathway contributions,Yilmaz2025,12,,,,,12,,,,,
,Exploring the influence of coherent breathing on psychophysiological stress,Chiron2026,22,22.3,3.0,68,,22,22.3,3,0.68,14.96,7.039999999999999
,Evaluation of Immediate Changes in Reaction Time Following Bhramari Pranayama,Devipriya2026,60,21.35,1.78,50,,60,21.35,1.78,0.5,30,30
,Slow paced breathing and power posing: a pre-competitive ritual,FernandezBarradas2026,34,16.97,0.80,,,34,16.97,0.8,,,
,Fast-paced breathing,Iskra2026,58,,,,,58,,,,,
,Effects of underwater breath-holding training on athletes' lung capacity,Jing2026,20,,,,,20,,,,,
,Box Breathing vs Cyclic Sighing,Jones2026,77,21.0,3.0,71,,77,21,3,0.71,54.669999999999995,22.330000000000002
,The acute effect of a diaphragmatic breathing warm-up on maximal deadlift performance,Katz2026,40,24.8,6.8,80,,40,24.8,6.8,0.8,32,7.999999999999998
,No Evidence for the Efficacy of Slow-Paced Breathing as a Recovery Strategy After Sprint Interval Training,Raidl2026,20,,,,,20,,,,,
,Focused Attention Meditation as a Pre-Exercise Strategy,Tomita2026,26,,,,,26,,,,,
